Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
village + earthquake,1,0,1,13,7,6,8,0,17,17,0:100,0.0,0.46,False
windmill + ocean,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
ash + city,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
ash + dam,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
ash + dew,1,0,1,5,2,3,20,0,33,33,0:100,0.0,1.0,False
ash + flood,1,0,1,9,5,4,11,0,25,25,0:100,0.0,0.44,False
ash + garden,1,0,1,7,3,4,14,0,25,25,0:100,0.0,1.0,False
ash + house,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
ash + isle,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
archipelago + dam,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
archipelago + earthquake,1,0,1,8,3,5,12,0,20,20,0:100,0.0,1.0,False
archipelago + volcano,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
ash + sound,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
sound + salt,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
ash + salt,1,0,1,8,5,3,12,0,33,33,0:100,0.0,0.38,False
sound + sound,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
isle + obsidian,1,0,1,10,5,5,10,0,20,20,0:100,0.0,1.0,False
dew + energy,1,0,1,13,4,9,8,0,11,11,0:100,0.0,1.0,False
windmill + sea,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
dam + windmill,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
isle + house,1,0,1,8,4,4,12,0,25,25,0:100,0.0,1.0,False
pond + ash,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
stone + salt,1,0,1,10,4,6,10,0,17,17,0:100,0.0,1.0,False
electricity + sea,1,0,1,10,3,7,10,0,14,14,0:100,0.0,1.0,False
wire + pressure,1,0,1,8,3,5,12,0,20,20,0:100,0.0,1.0,False
