Combinations,Amount of Players
fire + gunpowder,15
fire + lava,19
fire + metal,4
fire + moss,1
fire + mud,33
fire + obsidian,16
fire + ocean,2
fire + plant,11
fire + rain,23
fire + salt,3
fire + sand,1
fire + sky,3
fire + steam,25
fire + stone,9
fire + swamp,3
fire + water,61
fire + water gun,1
fire + wind,16
fireworks + dust,1
fireworks + explosion,1
fireworks + fire,1
fireworks + gunpowder,1
fireworks + water,1
flood + air,1
flood + atmosphere,1
flood + earthquake,1
flood + flood,5
flood + rain,3
flower + flower,1
flower + hurricane,1
fog + air,3
fog + earth,1
fog + fog,1
fog + steam,2
fog + water,1
garden + air,2
garden + algae,1
garden + day,1
garden + fire,2
garden + flower,3
garden + garden,2
garden + grass,2
garden + ocean,1
geyser + ash,1
geyser + atmosphere,1
geyser + brick,6
geyser + dust,4
geyser + fire,12
geyser + flood,1
geyser + flower,1
geyser + garden,1
geyser + geyser,3
geyser + grass,1
geyser + lava,11
geyser + metal,1
geyser + pressure,2
geyser + rain,4
geyser + steam,7
geyser + swamp,2
geyser + tobacco,2
geyser + volcano,6
geyser + water,3
geyser + wind,5
glass + glass,1
glass + water,1
granite + air,1
granite + cloud,1
granite + earth,1
granite + energy,1
granite + granite,1
granite + lava,1
granite + ocean,1
granite + sea,1
grass + dew,1
grass + energy,4
grass + fire,5
grass + flower,1
grass + grass,1
grass + mountain,1
grass + obsidian,1
grass + plant,4
grass + rain,2
grass + steam,1
grass + stone,2
grass + tobacco,1
grenade + bullet,1
grenade + dust,1
grenade + earth,1
grenade + explosion,1
grenade + fire,1
grenade + metal,1
grenade + stone,1
grenade + water,1
grenade + water gun,1
gun + energy,1
gun + grenade,1
gun + stone,1
gunpowder + ash,1
gunpowder + earthquake,1
gunpowder + energy,8
gunpowder + geyser,4
gunpowder + grass,1
gunpowder + gun,3
gunpowder + gunpowder,7
gunpowder + hurricane,1
gunpowder + lava,12
gunpowder + metal,3
gunpowder + mountain,1
gunpowder + mud,4
gunpowder + plant,1
gunpowder + pressure,1
gunpowder + rain,4
gunpowder + salt,1
gunpowder + steam,4
gunpowder + volcano,4
gunpowder + wind,1
horizon + brick,1
horizon + earth,1
horizon + energy,1
horizon + fog,1
horizon + horizon,1
horizon + pressure,1
house + house,4
house + sea,1
hurricane + air,4
hurricane + earthquake,6
hurricane + energy,5
hurricane + fire,6
hurricane + geyser,3
hurricane + hurricane,5
hurricane + lava,1
hurricane + mud,3
hurricane + salt,1
hurricane + tsunami,1
lava + ash,1
lava + brick,7
lava + dust,8
lava + earth,28
lava + earthquake,9
lava + energy,22
lava + explosion,3
lava + flood,2
lava + grass,4
lava + grenade,1
lava + gun,2
lava + lava,5
lava + metal,2
lava + mountain,3
lava + mud,18
lava + ocean,2
lava + plant,6
lava + pressure,4
lava + rain,18
lava + stone,8
lava + tsunami,1
lava + volcano,7
lava + wind,9
life + earth,1
metal + beach,1
metal + brick,1
metal + bullet,3
metal + energy,2
metal + explosion,2
metal + glasses,1
metal + gun,2
metal + obsidian,1
metal + steam,3
metal + stone,1
moss + air,2
moss + moss,1
moss + water,1
mountain + air,7
mountain + algae,1
mountain + ash,1
mountain + energy,6
mountain + fire,7
mountain + geyser,2
mountain + life,1
mountain + mountain,2
mountain + ocean,1
mountain + plant,1
mountain + pressure,1
mountain + steam,2
mountain + stone,1
mountain + volcano,2
mountain + water,5
mountain range + earth,1
mountain range + mountain,1
mountain range + mountain range,2
mountain range + ocean,1
mountain range + river,1
mud + algae,1
mud + brick,9
mud + cloud,3
mud + dust,12
mud + earth,15
mud + energy,13
mud + geyser,8
mud + granite,1
mud + grass,4
mud + mountain,4
mud + mud,3
mud + ocean,2
mud + pressure,5
mud + rain,10
mud + salt,1
mud + sand,1
mud + sun,1
mud + volcano,4
obsidian + algae,1
obsidian + brick,6
obsidian + cloud,1
obsidian + earth,9
obsidian + geyser,5
obsidian + gunpowder,4
obsidian + lava,13
obsidian + mud,6
obsidian + obsidian,5
obsidian + pressure,3
obsidian + river,2
obsidian + volcano,6
ocean + energy,1
ocean + flood,1
ocean + fog,1
ocean + ocean,4
ocean + river,1
ocean + sea,3
ocean + water,3
plant + brick,2
plant + day,1
plant + energy,5
plant + explosion,1
plant + flower,2
plant + garden,3
plant + geyser,3
plant + mud,2
plant + obsidian,1
plant + plant,2
plant + pressure,1
plant + rain,7
plant + river,1
plant + steam,4
plant + stone,1
plant + storm,1
plant + water,14
pond + energy,1
pond + rain,1
pressure + cloud,2
pressure + dust,2
pressure + earth,5
pressure + fire,11
pressure + flood,1
pressure + granite,1
pressure + ocean,2
pressure + pond,1
pressure + pressure,11
pressure + rain,9
pressure + salt,1
pressure + tsunami,1
pressure + water,5
rain + beach,1
rain + brick,5
rain + day,1
rain + earthquake,6
rain + flower,1
rain + fog,1
rain + garden,2
rain + hurricane,3
rain + metal,1
rain + mountain,5
rain + obsidian,5
rain + rain,7
rain + sand,1
rain + sea,1
rain + sky,5
rain + steam,24
rain + stone,4
rain + storm,3
rain + sun,2
rain + volcano,11
rain + wind,12
river + air,1
river + earth,4
river + earthquake,2
river + fire,5
